Account Group,Grouping,Account Description
Account Group 1: Bad Debt Trade,LE & OG,ALLOWANCE FOR DOUBTFUL ACCOUNTS : TRADE
Accoung group 2: Finance Charges,LE  ,ALLOWANCE FOR DOUBTFUL ACCOUNTS : FINANCE CHARGE
Accoung group 3: Operating Receivables,LE,ALLOWANCE FOR DOUBTFUL ACCOUNTS : OPERATING REC
Account Group 4: Equity,LE  ,Equity
Account Group 5: Subsidiary Investments,LE  ,INVESTMENT IN SUBSIDIARY
Account Group 6: Intangibles,Globally,Global Wesco Group : Intangible Assets
Account Group 8: PPE Cost,LE  ,PPE : PPE Cost
Account Group 9: PPE Clearing,LE,PPE : PPE Clearing
Account Group 11: PPE Depreciation,LE,PPP : PPE RESERVE
Account Group 14: Restructuring reserves,LE & OG,OTHER CURRENT LIABILITIES : RESTRUCTURE RESERVE
Account Group 15: Senior Notes,LE  ,OTHER CURRENT LIABILITIES : SENIOR NOTES DUE
Account Grouping 17: Deferred Revenue,LE & OG,OTHER CURRENT LIABILITIES : DEFERRED REVENUE
Account Grouping 18: VAT,LE,VAT
Account Grouping 20: Intercompany AP non inv,LE,INTERCOMPANY ACCOUNTS PAYABLE
Account Grouping 21: Intercompany AR non inv,LE,INTERCOMPANY ACCOUNTS RECEIVABLE
Account Grouping 22: Leases,Globally,Global Wesco Group : Leases
Account Grouping 25: Debt,LE,Long Term Debt
Account Grouping 26: Supplier Volume Rebates,LE & OG,OTHER ACCOUNTS RECEIVABLE : SUPPLIER VOLUME REBATES
Account Grouping 27: Goodwill,Globally,Global Wesco Group : Goodwill
Account Grouping 30: Inventory Reserves,LE & OG,INVENTORY RESERVE
OTHER CURRENT LIABILITIES : FIN 48,Globally,Global Wesco Group : OTHER CURRENT LIABILITIES : FIN 48
OTHER NONCURRENT LIABILITIES : FIN 48,Globally,Global Wesco Group : OTHER NONCURRENT LIABILITIES : FIN 48
